DATE,RS_FILENAME,COMPRESSED_SIZE,NUMBER_OF_OBJECTS,UNCOMPRESSED_SIZE,RS_SHA1_HASH,RC_FILENAME,RC_SHA256_HASH
2005-06,RS_2005-06.zst,17742,103,177496,a757d4c6929de8b0e4bdfdd997d64d01eff1973539f53b55a23294ccaa81fb80,null,null
2005-07,RS_2005-07.zst,99281,1079,1521628,55a305c14a4ad732dc99d167dd826fce4e4c07055d7829b171009cde3fa9f345,null,null
2005-08,RS_2005-08.zst,166220,2069,2853000,0f6a348a32321c8e8dd359151408c0e552fa8d964382e0c3f0413e81b66cfca1,null,null
2005-09,RS_2005-09.zst,200230,2449,3398814,bb9f49222bda0392527aef27a923803d16824894e7038bf514e52dc607248ec6,null,null
2005-10,RS_2005-10.zst,290168,3498,4884767,589cd64887771dbaff98a0102022e80b141812cfa12284d4867efc932231e578,null,null
2005-11,RS_2005-11.zst,310615,3699,5231665,caff7e1a4000c0e1d831323d2af0fd75855eb5658b285a623952e135c3330676,null,null
2005-12,RS_2005-12.zst,443130,5356,7540947,88be89ec0d7dc9e72f6fbaeee9d21a68031c386a2cb4c5133c03ccebfa2eca05,RC_2005-12.bz2,5053a423d666482d432095f3d1b72328680eccf7cd79076dbfc3c96e0eec2c80
2006-01,RS_2006-01.zst,657593,8048,11233076,f271a8b2a7f6f9b5f5beb6343872a2c172eb7c940b9a252a0942582b02c70118,RC_2006-01.bz2,845aa6e57d15d3c2f9a253c2152500f3c9673c10f6407bbb0b6b7a76a6518eb9
2006-02,RS_2006-02.zst,776247,9501,13164343,5f681e54bfde1e95b9dac343d95bfee7df88c026036811a859e5797144543a78,RC_2006-02.bz2,a9a0822937828eb0ead78c2ff56f37f24c21448854d42aec4fa5830a9b7a12c0
2006-03,RS_2006-03.zst,998728,12525,17327843,42c7359f21856a0027a3bc99da818050464efd133eb62e55c10c473c0d91260e,RC_2006-03.bz2,67ed9168c917b1e2e54ca50ffdaa066f55a3ef6362d5f90e23fbe04bff706d80
2006-04,RS_2006-04.zst,991782,12556,17382517,ec758d7d12881227d9af6cc69844cfb577b32413e1508adc923f5a8ab6fe4d2a,RC_2006-04.bz2,1e757b8a7dd4b1f7281329ac77cf4a20f59571d59899983fd7f347b24b081516
2006-05,RS_2006-05.zst,1159385,14701,20390030,112885225d0319422aef814b27a4b68c93801744565f0200e4e878673d1ead90,RC_2006-05.bz2,bca7a0d66794e652aa5e29b959f36d4c5626ed0e005ef950a8e60ddcc0abbe04
2006-06,RS_2006-06.zst,1301070,16942,23394831,4383b294cafc8aa570e12118a62877416e7365928f16a794b1b493be4bd87950,RC_2006-06.bz2,aeebc905abe94bc28334a474d6b4cd735caef37c9c90b86c640acc0346f1b697
